timestamp,startTime,endTime,stepcount,heartrate,sleep,meanSpeed,distance,exerciseType,liveData/0/speed,liveData/0/start_time,liveData/1/speed,liveData/1/start_time,liveData/2/speed,liveData/2/start_time,liveData/3/speed,liveData/3/start_time,liveData/4/speed,liveData/4/start_time,liveData/5/speed,liveData/5/start_time,liveData/6/speed,liveData/6/start_time,liveData/7/speed,liveData/7/start_time
1489073295309,,,36,,,,,,,,,,,,,,,,,,,,,
1489073295534,,,44,,,,,,,,,,,,,,,,,,,,,
1489073295753,,,22,,,,,,,,,,,,,,,,,,,,,
1489073988789,,,16,,,,,,,,,,,,,,,,,,,,,
1489074900297,,,,81,,,,,,,,,,,,,,,,,,,,
1489075222404,,,25,,,,,,,,,,,,,,,,,,,,,
1489075249531,,,11,,,,,,,,,,,,,,,,,,,,,
1489075668661,,,18,,,,,,,,,,,,,,,,,,,,,
1489075774866,,,12,,,,,,,,,,,,,,,,,,,,,
1489075774988,,,31,,,,,,,,,,,,,,,,,,,,,
1489075800649,,,19,,,,,,,,,,,,,,,,,,,,,
1489077076371,,,20,,,,,,,,,,,,,,,,,,,,,
1489077122679,,,13,,,,,,,,,,,,,,,,,,,,,
1489077260537,,,24,,,,,,,,,,,,,,,,,,,,,
1489077339698,,,26,,,,,,,,,,,,,,,,,,,,,
1489078008422,,,33,,,,,,,,,,,,,,,,,,,,,
1489078228756,,,14,,,,,,,,,,,,,,,,,,,,,
1489078276371,,,24,,,,,,,,,,,,,,,,,,,,,
1489078327109,,,17,,,,,,,,,,,,,,,,,,,,,
1489078364477,,,23,,,,,,,,,,,,,,,,,,,,,
1489078598357,,,21,,,,,,,,,,,,,,,,,,,,,
1489078980678,,,25,,,,,,,,,,,,,,,,,,,,,
1489078980690,,,10,,,,,,,,,,,,,,,,,,,,,
1489078987992,,,34,,,,,,,,,,,,,,,,,,,,,
1489078988107,,,20,,,,,,,,,,,,,,,,,,,,,
1489079113339,,,7,,,,,,,,,,,,,,,,,,,,,
1489079177211,,,16,,,,,,,,,,,,,,,,,,,,,
1489079199660,,,41,,,,,,,,,,,,,,,,,,,,,
1489079300765,,,21,,,,,,,,,,,,,,,,,,,,,
1489079324649,,,35,,,,,,,,,,,,,,,,,,,,,
1489079456672,,,15,,,,,,,,,,,,,,,,,,,,,
1489079579510,,,23,,,,,,,,,,,,,,,,,,,,,
1489079589239,,,12,,,,,,,,,,,,,,,,,,,,,
1489079589419,,,19,,,,,,,,,,,,,,,,,,,,,
1489079666382,,,6,,,,,,,,,,,,,,,,,,,,,
1489079686390,,,14,,,,,,,,,,,,,,,,,,,,,
1489079718719,,,69,,,,,,,,,,,,,,,,,,,,,
1489079752397,,,60,,,,,,,,,,,,,,,,,,,,,
1489079796536,,,58,,,,,,,,,,,,,,,,,,,,,
1489079803510,,,33,,,,,,,,,,,,,,,,,,,,,
1489079952436,,,22,,,,,,,,,,,,,,,,,,,,,
1489080027688,,,60,,,,,,,,,,,,,,,,,,,,,
1489080046367,,,12,,,,,,,,,,,,,,,,,,,,,
1489080112610,,,47,,,,,,,,,,,,,,,,,,,,,
1489080128611,,,38,,,,,,,,,,,,,,,,,,,,,
1489080135021,,,23,,,,,,,,,,,,,,,,,,,,,
1489080236265,,,26,,,,,,,,,,,,,,,,,,,,,
1489080240524,,,122,,,,,,,,,,,,,,,,,,,,,
1489080252447,,,110,,,,,,,,,,,,,,,,,,,,,
1489080320261,,,80,,,,,,,,,,,,,,,,,,,,,
1489080353516,,,54,,,,,,,,,,,,,,,,,,,,,
1489080471495,,,59,,,,,,,,,,,,,,,,,,,,,
1489080490606,,,102,,,,,,,,,,,,,,,,,,,,,
1489080540277,,,108,,,,,,,,,,,,,,,,,,,,,
1489080621785,,,107,,,,,,,,,,,,,,,,,,,,,
1489080679663,,,100,,,,,,,,,,,,,,,,,,,,,
1489080900100,,,90,,,,,,,,,,,,,,,,,,,,,
1489080900198,,,108,,,,,,,,,,,,,,,,,,,,,
1489080900259,,,102,,,,,,,,,,,,,,,,,,,,,
1489080900275,,,106,,,,,,,,,,,,,,,,,,,,,
1489080900290,,,99,,,,,,,,,,,,,,,,,,,,,
1489080900299,,,108,,,,,,,,,,,,,,,,,,,,,
1489080900361,,,109,,,,,,,,,,,,,,,,,,,,,
1489080900429,,,111,,,,,,,,,,,,,,,,,,,,,
1489080900565,,,106,,,,,,,,,,,,,,,,,,,,,
1489080900692,,,106,,,,,,,,,,,,,,,,,,,,,
1489080900795,,,101,,,,,,,,,,,,,,,,,,,,,
1489080987699,,,109,,,,,,,,,,,,,,,,,,,,,
1489081071817,,,109,,,,,,,,,,,,,,,,,,,,,
1489081072024,,,111,,,,,,,,,,,,,,,,,,,,,
1489081080324,,,96,,,,,,,,,,,,,,,,,,,,,
1489081185516,,,107,,,,,,,,,,,,,,,,,,,,,
1489081185527,,,84,,,,,,,,,,,,,,,,,,,,,
1489081185543,,,58,,,,,,,,,,,,,,,,,,,,,
1489081206488,,,54,,,,,,,,,,,,,,,,,,,,,
1489081872553,,,,69,,,,,,,,,,,,,,,,,,,,
1489084084488,,,21,,,,,,,,,,,,,,,,,,,,,
1489085559676,,,54,,,,,,,,,,,,,,,,,,,,,
1489085575382,,,40,,,,,,,,,,,,,,,,,,,,,
1489085895531,,,94,,,,,,,,,,,,,,,,,,,,,
1489086028512,,,106,,,,,,,,,,,,,,,,,,,,,
1489086028552,,,108,,,,,,,,,,,,,,,,,,,,,
1489086134557,,,103,,,,,,,,,,,,,,,,,,,,,
1489086138415,,,93,,,,,,,,,,,,,,,,,,,,,
1489086187466,,,106,,,,,,,,,,,,,,,,,,,,,
1489086241643,,,110,,,,,,,,,,,,,,,,,,,,,
1489086336017,,,103,,,,,,,,,,,,,,,,,,,,,
1489086336162,,,107,,,,,,,,,,,,,,,,,,,,,
1489086336236,,,108,,,,,,,,,,,,,,,,,,,,,
1489086336309,,,110,,,,,,,,,,,,,,,,,,,,,
1489086336370,,,102,,,,,,,,,,,,,,,,,,,,,
1489086336452,,,118,,,,,,,,,,,,,,,,,,,,,
1489086336577,,,115,,,,,,,,,,,,,,,,,,,,,
1489086336734,,,112,,,,,,,,,,,,,,,,,,,,,
1489086364041,,,82,,,,,,,,,,,,,,,,,,,,,
1489086371753,,,109,,,,,,,,,,,,,,,,,,,,,
1489086371768,,,56,,,,,,,,,,,,,,,,,,,,,
1489086449858,,,2,,,,,,,,,,,,,,,,,,,,,
1489086646488,,,14,,,,,,,,,,,,,,,,,,,,,
1489086646504,,,44,,,,,,,,,,,,,,,,,,,,,
1489086646520,,,37,,,,,,,,,,,,,,,,,,,,,
1489086665510,,,53,,,,,,,,,,,,,,,,,,,,,
1489086665669,,,23,,,,,,,,,,,,,,,,,,,,,
1489086774443,,,42,,,,,,,,,,,,,,,,,,,,,
1489086786936,,,65,,,,,,,,,,,,,,,,,,,,,
1489086878782,,,24,,,,,,,,,,,,,,,,,,,,,
1489086878920,,,76,,,,,,,,,,,,,,,,,,,,,
1489086879015,,,39,,,,,,,,,,,,,,,,,,,,,
1489086943747,,,32,,,,,,,,,,,,,,,,,,,,,
1489086966599,,,44,,,,,,,,,,,,,,,,,,,,,
1489087022661,,,29,,,,,,,,,,,,,,,,,,,,,
1489087022673,,,36,,,,,,,,,,,,,,,,,,,,,
1489087057828,,,89,,,,,,,,,,,,,,,,,,,,,
1489087071555,,,96,,,,,,,,,,,,,,,,,,,,,
1489087131040,,,54,,,,,,,,,,,,,,,,,,,,,
1489087751263,,,13,,,,,,,,,,,,,,,,,,,,,
1489087841860,,,47,,,,,,,,,,,,,,,,,,,,,
1489087887409,,,70,,,,,,,,,,,,,,,,,,,,,
1489087896655,,,7,,,,,,,,,,,,,,,,,,,,,
1489087896739,,,79,,,,,,,,,,,,,,,,,,,,,
1489087934602,,,69,,,,,,,,,,,,,,,,,,,,,
1489087945161,,,43,,,,,,,,,,,,,,,,,,,,,
1489088673765,,,31,,,,,,,,,,,,,,,,,,,,,
1489089923494,,,30,,,,,,,,,,,,,,,,,,,,,
1489089923515,,,23,,,,,,,,,,,,,,,,,,,,,
1489089923526,,,24,,,,,,,,,,,,,,,,,,,,,
1489089944243,,,13,,,,,,,,,,,,,,,,,,,,,
1489089944343,,,52,,,,,,,,,,,,,,,,,,,,,
1489090048081,,,70,,,,,,,,,,,,,,,,,,,,,
1489090109371,,,21,,,,,,,,,,,,,,,,,,,,,
1489090109453,,,56,,,,,,,,,,,,,,,,,,,,,
1489090109666,,,39,,,,,,,,,,,,,,,,,,,,,
1489090170483,,,25,,,,,,,,,,,,,,,,,,,,,
1489090170494,,,17,,,,,,,,,,,,,,,,,,,,,
1489090201131,,,21,,,,,,,,,,,,,,,,,,,,,
1489090392785,,,29,,,,,,,,,,,,,,,,,,,,,
1489090392982,,,13,,,,,,,,,,,,,,,,,,,,,
1489090469387,,,33,,,,,,,,,,,,,,,,,,,,,
1489090469408,,,13,,,,,,,,,,,,,,,,,,,,,
1489090469423,,,22,,,,,,,,,,,,,,,,,,,,,
1489090496213,,,67,,,,,,,,,,,,,,,,,,,,,
1489090514504,,,77,,,,,,,,,,,,,,,,,,,,,
1489090580423,,,56,,,,,,,,,,,,,,,,,,,,,
1489090597217,,,33,,,,,,,,,,,,,,,,,,,,,
1489090670209,,,26,,,,,,,,,,,,,,,,,,,,,
1489090697063,,,33,,,,,,,,,,,,,,,,,,,,,
1489090697075,,,106,,,,,,,,,,,,,,,,,,,,,
1489090797206,,,101,,,,,,,,,,,,,,,,,,,,,
1489090797327,,,95,,,,,,,,,,,,,,,,,,,,,
1489090839188,,,11,,,,,,,,,,,,,,,,,,,,,
1489090875508,,,107,,,,,,,,,,,,,,,,,,,,,
1489091016492,,,9,,,,,,,,,,,,,,,,,,,,,
1489091043375,,,19,,,,,,,,,,,,,,,,,,,,,
1489091051462,,,35,,,,,,,,,,,,,,,,,,,,,
1489091250482,,,32,,,,,,,,,,,,,,,,,,,,,
1489091311776,,,22,,,,,,,,,,,,,,,,,,,,,
1489091311789,,,19,,,,,,,,,,,,,,,,,,,,,
1489091346784,,,36,,,,,,,,,,,,,,,,,,,,,
1489091419617,,,30,,,,,,,,,,,,,,,,,,,,,
1489091559486,,,19,,,,,,,,,,,,,,,,,,,,,
1489091559624,,,108,,,,,,,,,,,,,,,,,,,,,
1489091601627,,,3,,,,,,,,,,,,,,,,,,,,,
1489091649586,,,30,,,,,,,,,,,,,,,,,,,,,
1489091649620,,,85,,,,,,,,,,,,,,,,,,,,,
1489091649657,,,10,,,,,,,,,,,,,,,,,,,,,
1489091649670,,,52,,,,,,,,,,,,,,,,,,,,,
1489091671586,,,55,,,,,,,,,,,,,,,,,,,,,
1489091888991,,,27,,,,,,,,,,,,,,,,,,,,,
1489091889196,,,9,,,,,,,,,,,,,,,,,,,,,
1489092150160,,,15,,,,,,,,,,,,,,,,,,,,,
1489092167077,,,14,,,,,,,,,,,,,,,,,,,,,
