stepcount,timestamp
79,1490620964623
112,1490621048185
63,1490621048518
6,1490621157497
9,1490621191447
21,1490618850060
22,1490618850072
70,1490618850082
35,1490618850093
26,1490618901766
24,1490618995078
25,1490619078906
30,1490619093830
44,1490619300569
36,1490619339940
55,1490619389785
129,1490619560318
126,1490619560334
113,1490619560350
128,1490619900860
127,1490619900873
123,1490619900894
124,1490619900905
123,1490619900926
128,1490619901460
126,1490620058700
126,1490620058750
84,1490620121832
91,1490620171882
23,1490620319742
73,1490620823906
61,1490620886941
84,1490620972813
99,1490620990812
61,1490621247742
16,1490621247766
15,1490621364946
48,1490622187654
12,1490622278294
12,1490623014753
109,1490623020784
31,1490623080366
13,1490623242072
65,1490623242278
98,1490623353798
53,1490623353997
111,1490623493942
49,1490623494082
8,1490623518015
7,1490623793725
14,1490624084446
18,1490624124999
112,1490624232398
9,1490624232626
32,1490624382649
53,1490624435511
23,1490624481324
12,1490624560857
8,1490624644255
89,1490625025397
14,1490625025560
56,1490625166609
28,1490625227989
77,1490625300309
46,1490625306176
115,1490625391624
103,1490625576702
41,1490625576878
16,1490625787267
6,1490625912082
68,1490625993505
107,1490626088771
41,1490626088949
42,1490626147464
7,1490626299406
55,1490626642830
9,1490626712149
18,1490626712373
79,1490626809941
16,1490626810152
17,1490626883731
45,1490627057164
21,1490627057394
75,1490627123428
65,1490627160599
27,1490627271900
6,1490627430649
10,1490627897929
18,1490628004688
40,1490628123788
12,1490628163454
12,1490628791657
23,1490630126079
44,1490630216890
16,1490630306253
29,1490630306485
64,1490630394151
6,1490630549508
20,1490630781846
103,1490630889914
29,1490630890111
47,1490631001006
11,1490631694695
15,1490631790798
10,1490631791029
19,1490631946078
37,1490631963913
37,1490632032781
15,1490622519615
37,1490623152980
104,1490623152997
33,1490623153053
17,1490623174750
63,1490623393023
87,1490623393060
41,1490623393090
87,1490623393681
39,1490623440943
22,1490623547842
21,1490624099574
18,1490624289770
46,1490624289850
37,1490624723340
50,1490624723553
20,1490624723766
20,1490624723886
22,1490624988830
64,1490624988855
13,1490624988866
66,1490625288806
18,1490625288824
78,1490625288835
19,1490625357965
102,1490625370778
96,1490625428868
31,1490625748912
92,1490626001754
69,1490626054023
57,1490626456797
18,1490626456833
18,1490626611070
46,1490626650901
87,1490626778863
22,1490626915903
15,1490626915920
21,1490627074993
57,1490627213814
46,1490627213879
23,1490627289956
54,1490628053921
30,1490628053934
37,1490628140173
21,1490628795820
19,1490628795850
28,1490630131945
50,1490630185763
38,1490630382045
37,1490630382064
54,1490630382080
33,1490630801336
91,1490630866941
80,1490630967786
51,1490630967808
23,1490631841949
29,1490631841961
8,1490631841976
29,1490632480883
121,1490632481033
45,1490632481177
15,1490632481313
69,1490632648592
20,1490632648744
28,1490632730126
60,1490632787069
109,1490632815485
19,1490632940834
105,1490632940975
47,1490633008010
32,1490633425478
32,1490633425747
83,1490633485058
7,1490633579233
104,1490633581442
115,1490633700776
110,1490633700948
21,1490633772556
100,1490634900343
111,1490634900485
111,1490634900625
120,1490634900777
104,1490634900906
97,1490634901040
113,1490634901180
118,1490634901311
131,1490634901436
114,1490634901583
111,1490634901731
102,1490634901861
82,1490634901974
92,1490634902084
102,1490634902205
111,1490634902324
110,1490634902468
86,1490634902580
11,1490635143735
21,1490635291629
11,1490635291795
8,1490635403797
51,1490635849295
107,1490635849434
105,1490635849557
105,1490635849695
79,1490635849821
19,1490636100094
115,1490636100281
110,1490636100465
107,1490636100576
109,1490636100687
111,1490636366952
109,1490636367101
104,1490636367214
11,1490636367332
7,1490636473840
30,1490636682260
11,1490636682415
20,1490637187444
64,1490637328481
65,1490637404509
25,1490637459892
30,1490637629999
62,1490637630217
65,1490637765135
20,1490637803263
64,1490637882512
